env,variant,samples,noise,auroc,auprc
point_mass,analytic,0,0.0,1.0,1.0
point_mass,wrong_map,0,0.0,1.0,1.0
point_mass,learned_j,32,0.0,1.0,1.0
point_mass,noisy_learned_j,32,0.15,1.0,1.0
point_mass,noisy_learned_j,32,0.35,1.0,1.0
point_mass,noisy_learned_j,32,0.65,1.0,1.0
point_mass,learned_j,64,0.0,1.0,1.0
point_mass,noisy_learned_j,64,0.15,1.0,1.0
point_mass,noisy_learned_j,64,0.35,1.0,1.0
point_mass,noisy_learned_j,64,0.65,1.0,1.0
point_mass,learned_j,128,0.0,1.0,1.0
point_mass,noisy_learned_j,128,0.15,1.0,1.0
point_mass,noisy_learned_j,128,0.35,1.0,1.0
point_mass,noisy_learned_j,128,0.65,1.0,1.0
point_mass,learned_j,256,0.0,1.0,1.0
point_mass,noisy_learned_j,256,0.15,1.0,1.0
point_mass,noisy_learned_j,256,0.35,1.0,1.0
point_mass,noisy_learned_j,256,0.65,1.0,1.0
point_mass,learned_j,512,0.0,1.0,1.0
point_mass,noisy_learned_j,512,0.15,1.0,1.0
point_mass,noisy_learned_j,512,0.35,1.0,1.0
point_mass,noisy_learned_j,512,0.65,1.0,1.0
nonholonomic_car,analytic,0,0.0,0.9858156028368794,0.9871409051308708
nonholonomic_car,wrong_map,0,0.0,0.03159252095422308,0.38731140245968626
nonholonomic_car,learned_j,32,0.0,0.9787234042553192,0.9788616876225187
nonholonomic_car,noisy_learned_j,32,0.15,0.9722759509993553,0.9739874134660053
nonholonomic_car,noisy_learned_j,32,0.35,0.9052224371373307,0.9422983788783803
nonholonomic_car,noisy_learned_j,32,0.65,0.6737588652482269,0.7799662539253036
nonholonomic_car,learned_j,64,0.0,0.9819471308833011,0.9816796272782886
nonholonomic_car,noisy_learned_j,64,0.15,0.97678916827853,0.9760977662135804
nonholonomic_car,noisy_learned_j,64,0.35,0.9555125725338491,0.9672595848494137
nonholonomic_car,noisy_learned_j,64,0.65,0.7743391360412637,0.8586757033486374
nonholonomic_car,learned_j,128,0.0,0.9819471308833011,0.9816796272782886
nonholonomic_car,noisy_learned_j,128,0.15,0.9813023855577048,0.9806157974910545
nonholonomic_car,noisy_learned_j,128,0.35,0.9774339136041263,0.9786391627647355
nonholonomic_car,noisy_learned_j,128,0.65,0.7969052224371374,0.8563764678308031
nonholonomic_car,learned_j,256,0.0,0.9838813668600903,0.9845849858728238
nonholonomic_car,noisy_learned_j,256,0.15,0.9845261121856866,0.985471510695519
nonholonomic_car,noisy_learned_j,256,0.35,0.9780786589297228,0.9762033777456514
nonholonomic_car,noisy_learned_j,256,0.65,0.8413926499032882,0.8911518975416823
nonholonomic_car,learned_j,512,0.0,0.9851708575112831,0.9863225745253061
nonholonomic_car,noisy_learned_j,512,0.15,0.9832366215344939,0.9836599164926203
nonholonomic_car,noisy_learned_j,512,0.35,0.9774339136041265,0.9748735905116087
nonholonomic_car,noisy_learned_j,512,0.65,0.8575112830431979,0.9034920374022591
two_link_arm,analytic,0,0.0,0.9767272727272727,0.930273647330021
two_link_arm,wrong_map,0,0.0,0.9105454545454545,0.7905741062008564
two_link_arm,learned_j,32,0.0,0.9490909090909091,0.8546491008997793
two_link_arm,noisy_learned_j,32,0.15,0.9418181818181819,0.8451604195350265
two_link_arm,noisy_learned_j,32,0.35,0.8654545454545455,0.7495804446891781
two_link_arm,noisy_learned_j,32,0.65,0.7643636363636364,0.6599166788937176
two_link_arm,learned_j,64,0.0,0.976,0.9302387244334613
two_link_arm,noisy_learned_j,64,0.15,0.978909090909091,0.9351269051832789
two_link_arm,noisy_learned_j,64,0.35,0.8727272727272727,0.746342076551149
two_link_arm,noisy_learned_j,64,0.65,0.7105454545454546,0.6051201045250647
two_link_arm,learned_j,128,0.0,0.9803636363636363,0.9417772319806645
two_link_arm,noisy_learned_j,128,0.15,0.9803636363636363,0.9439889760215107
two_link_arm,noisy_learned_j,128,0.35,0.8727272727272728,0.7384912377421732
two_link_arm,noisy_learned_j,128,0.65,0.7134545454545455,0.6096902944508156
two_link_arm,learned_j,256,0.0,0.9876363636363636,0.9589819415101284
two_link_arm,noisy_learned_j,256,0.15,0.9789090909090908,0.9480087374309194
two_link_arm,noisy_learned_j,256,0.35,0.864,0.7408008290831818
two_link_arm,noisy_learned_j,256,0.65,0.6850909090909091,0.5948943482662036
two_link_arm,learned_j,512,0.0,0.9476363636363636,0.8621521568199266
two_link_arm,noisy_learned_j,512,0.15,0.9527272727272726,0.8787464775702121
two_link_arm,noisy_learned_j,512,0.35,0.8734545454545455,0.7640544009541856
two_link_arm,noisy_learned_j,512,0.65,0.6799999999999999,0.6000726078466017
planar_pusher,analytic,0,0.0,1.0,0.9999999999999999
planar_pusher,wrong_map,0,0.0,0.53125,0.6012829178126377
planar_pusher,learned_j,32,0.0,0.4967447916666667,0.5443857738905367
planar_pusher,noisy_learned_j,32,0.15,0.4928385416666667,0.5428891004065206
planar_pusher,noisy_learned_j,32,0.35,0.4466145833333333,0.5252103158242636
planar_pusher,noisy_learned_j,32,0.65,0.25455729166666663,0.46093371985006526
planar_pusher,learned_j,64,0.0,0.45638020833333337,0.5455228261146541
planar_pusher,noisy_learned_j,64,0.15,0.439453125,0.539546946131897
planar_pusher,noisy_learned_j,64,0.35,0.3274739583333333,0.4852488841140535
planar_pusher,noisy_learned_j,64,0.65,0.19986979166666669,0.4444831270279191
planar_pusher,learned_j,128,0.0,0.529296875,0.6133292220387349
planar_pusher,noisy_learned_j,128,0.15,0.5182291666666666,0.584728480660069
planar_pusher,noisy_learned_j,128,0.35,0.4147135416666667,0.5310338834502305
planar_pusher,noisy_learned_j,128,0.65,0.22330729166666669,0.45090381090426973
planar_pusher,learned_j,256,0.0,0.59375,0.6906890913492459
planar_pusher,noisy_learned_j,256,0.15,0.5748697916666666,0.6453589301199618
planar_pusher,noisy_learned_j,256,0.35,0.5149739583333334,0.5880296642335926
planar_pusher,noisy_learned_j,256,0.65,0.29231770833333337,0.47506888145484605
planar_pusher,learned_j,512,0.0,0.6041666666666666,0.7035096041697587
planar_pusher,noisy_learned_j,512,0.15,0.5768229166666667,0.6518123042206472
planar_pusher,noisy_learned_j,512,0.35,0.49674479166666663,0.5685015919802308
planar_pusher,noisy_learned_j,512,0.65,0.22526041666666669,0.4593165111390931
