env,samples,j_error,abs_j_error
point_mass,32,0.0005639805571444464,0.00019939724384690824
point_mass,64,0.0002551383452975641,9.02050296016947e-05
point_mass,128,0.0001362251532268667,4.816286616969851e-05
point_mass,256,0.00011180964406767078,3.953067987924857e-05
point_mass,512,9.671482952758128e-05,3.4193856867275135e-05
nonholonomic_car,32,0.22962116809090913,0.05845200891819254
nonholonomic_car,64,0.7714365314553129,0.19637568866731453
nonholonomic_car,128,0.3904610436523671,0.09939515853668597
nonholonomic_car,256,0.15901281495812697,0.04047805590101133
nonholonomic_car,512,0.3047483336523807,0.07757626382860697
two_link_arm,32,0.3124300847786467,0.11267663600700088
two_link_arm,64,0.20787191615791661,0.07496815887496182
two_link_arm,128,0.10275566364417078,0.037058411062734394
two_link_arm,256,0.066970458983838,0.02415262293159111
two_link_arm,512,0.054517784384817136,0.0196616166186056
planar_pusher,32,0.2393588057151532,0.0651847879640397
planar_pusher,64,0.22182503490711095,0.06040980118668904
planar_pusher,128,0.21642774057492403,0.058939951412113376
planar_pusher,256,0.21037449198723335,0.057291465054975524
planar_pusher,512,0.2002528856442352,0.05453503935610664
